feature,score
cursor_position_vs_max_0.0,0.0012153390639406902
n_sentences_words_geq15_lt20_frac,0.0012117071741521769
activity_Nonproduction_per_s,0.0012019691105951357
is_new_activity_streak_start_Replace_frac_total_entropy,0.0011885507830515785
latency_time_lognorm_shape,0.0011751613675286432
vocab3765,0.0011426530064701178
vocab14372,0.0011341113605782382
activity_streak_length_thin_mean,0.0011329083055231504
vocab3093,0.0011286118892514852
activity_Replace_per_s,0.0011199911571707188
is_new_activity_streak_start_Remove/Cut_frac_total_entropy,0.0011015513628757744
preceding_pause_time_mean,0.0010841939131371215
vocab5598,0.0010740366815293
vocab2917,0.001066553080596533
vocab762,0.0010621751031770544
vocab17410,0.0010524215148774107
vocab11630,0.0010483898067172649
n_sentences_words_geq10_lt15_frac,0.0010374473381275396
vocab14503,0.001027604201312471
activity_streak_length_thin_stddev,0.0010233987960320157
vocab16184,0.0010185828633731964
words_length_geq7_lt8_frac,0.0010174443822475344
vocab16057,0.0010110593256025479
is_new_burst_start_Input_ttrend,0.0010083648827725166
vocab15647,0.0010044436477808726
event30,0.0009960382371303922
n_paragraphs_with_n_sentences_geq0_lt2,0.0009695304140916239
n_quotes,0.0009679574651688672
is_new_activity_streak_start_Replace_per_s,0.0009676086084524193
vocab5752,0.0009596688275824716
latency_time_8.0,0.0009572318929832902
vocab974,0.0009549548182338885
vocab2733,0.0009394678749849783
vocab6490,0.0009356384384714867
activity_Remove/Cut_ttrend,0.0009335078362937566
vocab945,0.0009333555138190564
vocab12263,0.0009254080830759292
latency_time_ttrend,0.0009191723114559735
vocab7893,0.0009057806459703555
preceding_pause_time_lognorm_location,0.0009055369750100795
vocab6798,0.0008999894669797115
vocab4911,0.0008929536086240252
is_new_activity_streak_start_Replace,0.0008894518791776384
delete_insert_ratio,0.000887818293760101
vocab2541,0.0008838805215426904
vocab7457,0.0008802958809708272
vocab218,0.0008659934305846884
preceding_pause_time_ttrend,0.0008655255508414506
activity_Replace,0.0008636131950455539
is_new_activity_streak_start_Remove/Cut_ttrend,0.0008562613294288201
activity_Input_ttrend,0.0008536626225116306
vocab13390,0.0008336313171016351
vocab2383,0.0008205415966101804
is_new_burst_start_ttrend,0.0007975197532789746
words_length_geq2_lt3_frac,0.0007911744084755812
vocab8580,0.0007894137001655865
vocab235,0.0007892638526498352
latency_time_frac_total_entropy,0.0007878418762241601
is_new_burst_start_Nonproduction_ttrend,0.0007821789451073258
vocab1123,0.0007777709306858061
is_new_activity_streak_start_Nonproduction_ttrend,0.0007773959744020509
word_count_delta_activity_streak_thin_stddev,0.0007760809837027205
activity_Nonproduction,0.0007741083289064532
vocab202,0.000772856337162664
vocab4368,0.0007630759743068704
vocab6444,0.00075977741649218
vocab15934,0.0007583873895368187
words_length_geq6_lt7_frac,0.0007582545292394327
vocab9100,0.0007582318046161829
vocab17534,0.0007503246482053694
vocab2617,0.0007331051211801664
preceding_pause_time_frac_total_entropy,0.0007274554648432962
vocab13146,0.0007266529031485947
is_new_burst_start_Nonproduction_per_s,0.0007255279217991184
vocab12063,0.0007251879524353244
is_new_activity_streak_start_Input_ttrend,0.0007210914453494865
is_new_burst_start_Nonproduction_frac_total_entropy,0.0007173401950397729
is_new_burst_start_Remove/Cut_per_s,0.0007127081968316018
cursor_position_delta_mean,0.0007067367958287774
words_length_geq5_lt6_frac,0.0007049091511284634
vocab5094,0.0007041401138779824
vocab7752,0.0007034447629058693
vocab4415,0.0006997796861675454
vocab4031,0.0006973379141486102
vocab6429,0.0006960505979904275
vocab8450,0.0006953778591434645
vocab6415,0.000688680845170242
total_time,0.0006881429915870596
vocab960,0.0006870042854651759
vocab12568,0.000686199136313359
vocab279,0.0006784830017356969
preceding_pause_time_stddev,0.0006781404449147654
vocab13275,0.0006692953915529598
is_new_burst_start,0.0006687802625930273
vocab9559,0.0006646878054400451
vocab10261,0.0006632458043463352
vocab8465,0.0006629666964735659
latency_time_7.0,0.0006614817210922608
is_new_burst_start_Nonproduction,0.0006458754173221503
vocab591,0.0006446932869201838
is_new_burst_start_frac_total_entropy,0.0006434703196952051
activity_streak_length_thin_p50,0.0006425452475315562
word_count_delta_ttrend,0.0006373363588873637
is_new_burst_start_per_s,0.0006321084580583669
is_new_burst_start_Remove/Cut_frac_total_entropy,0.0006269801180788237
cursor_position_delta_0.0,0.000623231792720591
vocab2762,0.000617426438964963
vocab3273,0.0006168570859040213
n_sentences_words_geq50_lt5000_frac,0.0006141745678762911
latency_time_lognorm_location,0.0006105531404142939
vocab4927,0.0006076293138870925
vocab5123,0.0006029250918762718
is_new_burst_start_Input_per_s,0.0006001578627529147
preceding_pause_time_max,0.0005964049249711945
vocab635,0.0005812455762912005
vocab2572,0.000575809103920033
initial_pause_time_max,0.0005738763859616913
vocab4603,0.0005689291679793707
is_new_burst_start_Input,0.0005687371336630332
vocab11505,0.0005667962033408358
vocab4782,0.0005661002898780909
vocab47,0.0005638969014070572
vocab13016,0.0005617056627346351
vocab16820,0.0005564192628754849
vocab4796,0.0005517711774339906
vocab9419,0.0005507608316840384
vocab8406,0.0005493366052956583
vocab16972,0.0005457757018302756
vocab1464,0.0005433274049195136
vocab2587,0.0005418411920587562
vocab8421,0.0005409694440110746
vocab10275,0.0005378691079101161
vocab250,0.0005338402122033959
vocab416,0.0005306991517776138
vocab4912,0.0005295719204654991
vocab119,0.000528882869388947
word_count_delta_burst_thin_0.0,0.0005259963922425781
vocab4526,0.0005259272058895758
n_sentences_words_geq10_lt15,0.0005240775115548324
